track_name,artist,album,release_date,popularity,spotify_url,id,duration_min,nconst,primaryName,birthYear,deathYear,primaryProfession,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
This Is What You Came For,Calvin Harris,This Is What You Came For,2016-04-29,80,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,0azC730Exh71aQlOt9Zj3y,3.7026666666666666,nm2744713,Calvin Harris,1984.0,,"music_artist,composer,actor",tt3721936,movie,American Honey,American Honey,0.0,2016.0,,163.0,"Adventure,Drama,Romance",7.0,48353
Side To Side,Ariana Grande,Dangerous Woman,2016-04-01,80,https://open.spotify.com/track/44ONERBHALxftQNWq6dmyd,44ONERBHALxftQNWq6dmyd,3.769333333333333,nm3812858,Ariana Grande,1993.0,,"music_artist,actress,composer",tt1262426,movie,Wicked,Wicked: Part I,0.0,2024.0,,160.0,"Fantasy,Musical,Romance",7.5,158547
Side To Side,Ariana Grande,Dangerous Woman,2016-04-01,80,https://open.spotify.com/track/44ONERBHALxftQNWq6dmyd,44ONERBHALxftQNWq6dmyd,3.769333333333333,nm3812858,Ariana Grande,1993.0,,"music_artist,actress,composer",tt11286314,movie,Don'T Look Up,Don'T Look Up,0.0,2021.0,,138.0,"Comedy,Drama,Sci-Fi",7.2,638898
Side To Side,Ariana Grande,Dangerous Woman,2016-04-01,80,https://open.spotify.com/track/44ONERBHALxftQNWq6dmyd,44ONERBHALxftQNWq6dmyd,3.769333333333333,nm3812858,Ariana Grande,1993.0,,"music_artist,actress,composer",tt1604099,tvseries,Victorious,Victorious,0.0,2010.0,2013.0,30.0,"Comedy,Drama,Family",7.0,31792
Side To Side,Ariana Grande,Dangerous Woman,2016-04-01,80,https://open.spotify.com/track/44ONERBHALxftQNWq6dmyd,44ONERBHALxftQNWq6dmyd,3.769333333333333,nm3812858,Ariana Grande,1993.0,,"music_artist,actress,composer",tt2487090,tvseries,Sam & Cat,Sam & Cat,0.0,2013.0,2014.0,30.0,"Comedy,Drama,Family",5.7,12858
Idgaf,Dua Lipa,Dua Lipa (Deluxe),2017-06-02,80,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,76cy1WJvNGJTj78UqeA5zr,3.632433333333333,nm7645984,Dua Lipa,1995.0,,"music_artist,actress,composer",tt1517268,movie,Barbie,Barbie,0.0,2023.0,,114.0,"Adventure,Comedy,Fantasy",6.8,605663
Idgaf,Dua Lipa,Dua Lipa (Deluxe),2017-06-02,80,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,76cy1WJvNGJTj78UqeA5zr,3.632433333333333,nm7645984,Dua Lipa,1995.0,,"music_artist,actress,composer",tt0437086,movie,Alita: Battle Angel,Alita: Battle Angel,0.0,2019.0,,122.0,"Action,Adventure,Sci-Fi",7.3,311609
Idgaf,Dua Lipa,Dua Lipa (Deluxe),2017-06-02,80,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,76cy1WJvNGJTj78UqeA5zr,3.632433333333333,nm7645984,Dua Lipa,1995.0,,"music_artist,actress,composer",tt15009428,movie,Argylle,Argylle,0.0,2024.0,,139.0,"Action,Comedy,Thriller",5.6,92685
Idgaf,Dua Lipa,Dua Lipa (Deluxe),2017-06-02,80,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,76cy1WJvNGJTj78UqeA5zr,3.632433333333333,nm7645984,Dua Lipa,1995.0,,"music_artist,actress,composer",tt15326988,movie,Ghosted,Ghosted,0.0,2023.0,,116.0,"Action,Adventure,Comedy",5.8,72515
Bleeding Love,Leona Lewis,Spirit,2007,80,https://open.spotify.com/track/7wZUrN8oemZfsEd1CGkbXE,7wZUrN8oemZfsEd1CGkbXE,4.374433333333333,nm2452244,Leona Lewis,1985.0,,"music_artist,actress,music_department",tt0499549,movie,Avatar,Avatar,0.0,2009.0,,162.0,"Action,Adventure,Fantasy",7.9,1428893
